"subject","response","rt","Congruency","mbased_reward_prev","mbased_efficacy_prev","scaledRunningTime"
2,1,0.790237879991764,"congruent",-0.0481438240245574,0.226605960492596,-0.994499978920891
2,1,0.880402897993918,"incongruent",-0.0481438240245574,0.226605960492596,-0.204262098929128
2,1,0.397965338997892,"incongruent",-0.0481438240245574,0.226605960492596,0.926140799064791
2,1,0.474813302003895,"incongruent",-0.0481438240245574,0.226605960492596,1.57410613806268
2,1,1.14511357400625,"incongruent",-0.144994586767402,0.168687519428933,-0.994499978920891
2,1,0.621942764002597,"incongruent",-0.144994586767402,0.168687519428933,0.150613595085358
2,1,0.406470325004193,"congruent",-0.144994586767402,0.168687519428933,1.02255635908796
2,1,0.837292479001917,"congruent",-0.222079077342059,0.193915273265504,-0.994499978920891
2,1,0.793840312006068,"incongruent",-0.222079077342059,0.193915273265504,-0.157207499918975
2,1,0.486409531993559,"congruent",-0.222079077342059,0.193915273265504,0.886632812087093
2,1,0.468888048999361,"incongruent",-0.222079077342059,0.193915273265504,1.62304234408065
2,1,0.681245966989081,"congruent",-0.283431394235334,0.217169813107995,-0.994499978920891
2,1,0.663929542002734,"incongruent",-0.283431394235334,0.217169813107995,-0.31325401193181
2,1,0.408262073004153,"incongruent",-0.283431394235334,0.217169813107995,0.600675530070924
2,1,0.623704432000523,"incongruent",-0.103250530416676,0.159994563012343,-0.994499978920891
2,1,0.723672662992612,"congruent",-0.103250530416676,0.159994563012343,-0.370795546920369
2,1,0.682933552991017,"incongruent",-0.103250530416676,0.159994563012343,0.602877116072243
2,1,0.997559570998419,"congruent",0.0342544958065332,0.107322435614224,-0.994499978920891
2,1,0.578274431987666,"congruent",0.0342544958065332,0.107322435614224,0.00305959207752748
2,1,0.466092411996215,"congruent",0.0342544958065332,0.107322435614224,0.831334024065194
2,1,0.331096709996928,"congruent",0.0342544958065332,0.107322435614224,1.54742643606141
2,1,0.916727105999598,"incongruent",0.139191456568775,0.137349920846447,-0.994499978920891
2,1,1.04337517901149,"incongruent",0.139191456568775,0.137349920846447,-0.0777728729212935
2,1,0.72805383100058,"congruent",0.00410743640963773,0.165028776293746,-0.994499978920891
2,1,0.699851772995316,"incongruent",0.00410743640963773,0.165028776293746,-0.266446147920312
2,1,0.680716934002703,"congruent",-0.103407286075221,0.111960154257584,-0.994499978920891
2,1,0.354441678995499,"congruent",-0.103407286075221,0.111960154257584,-0.313783044918189
2,1,1.16058792099648,"congruent",0.0341348677257142,0.0630712168929903,-0.994499978920891
2,-1,0.59240417300316,"incongruent",0.0341348677257142,0.0630712168929903,0.166087942075589
2,1,0.481373426999198,"incongruent",0.0341348677257142,0.0630712168929903,1.00849211507875
2,1,1.14083262599888,"congruent",0.139100162398898,0.0965598554487135,-0.994499978920891
2,1,0.536667517008027,"congruent",0.139100162398898,0.0965598554487135,0.146332647077988
2,1,0.874669391007046,"incongruent",0.219204427028738,0.127429146651162,-0.994499978920891
2,1,0.562183500005631,"congruent",0.219204427028738,0.127429146651162,-0.119830587913845
2,1,0.907584350003162,"incongruent",0.280335996581001,0.0773218714456499,-0.994499978920891
2,1,0.543776190010249,"congruent",0.280335996581001,0.0773218714456499,-0.0869156289177295
2,1,0.39866244699806,"congruent",0.280335996581001,0.0773218714456499,0.70686056109252
2,1,0.592637373993057,"incongruent",0.280335996581001,0.0773218714456499,1.35552300809058
2,1,0.340107715004706,"congruent",0.280335996581001,0.0773218714456499,2.19816038208364
2,1,0.602486497009522,"incongruent",0.116445787250768,0.109695880804882,-0.994499978920891
2,1,0.749094173996127,"incongruent",0.116445787250768,0.109695880804882,-0.39201348191137
2,1,0.692499889002647,"congruent",0.201915740634443,0.139537724648073,-0.994499978920891
2,1,0.590389796998352,"congruent",0.201915740634443,0.139537724648073,-0.302000089918244
2,1,0.601285373006249,"incongruent",0.201915740634443,0.139537724648073,0.538389707080108
2,1,0.558220475999406,"congruent",0.0540303213403437,0.0884767778395239,-0.994499978920891
2,1,0.685045992009691,"incongruent",0.0540303213403437,0.0884767778395239,-0.436279502921485
2,1,0.602641516001313,"incongruent",0.0540303213403437,0.0884767778395239,0.498766489088206
2,1,0.701050170013332,"congruent",0.154283377824903,0.0414373912016163,-0.994499978920891
2,1,0.517288836010266,"congruent",0.154283377824903,0.0414373912016163,-0.293449808907559
2,1,0.410894265995012,"congruent",0.154283377824903,0.0414373912016163,0.473839027102706
2,1,0.431770180002786,"congruent",0.154283377824903,0.0414373912016163,1.13473329309772
2,1,0.803814450991922,"incongruent",0.230791497881094,-0.00189717334468975,-0.994499978920891
2,1,0.665219802001957,"incongruent",0.230791497881094,-0.00189717334468975,-0.19068552792897
2,1,0.720565964002162,"incongruent",0.289178669701976,-0.0418187075873287,-0.994499978920891
2,1,0.497939428008976,"congruent",0.289178669701976,-0.0418187075873287,-0.273934014918729
2,1,0.421519067996996,"congruent",0.289178669701976,-0.0418187075873287,0.474005413090246
2,1,0.389069291006308,"congruent",0.289178669701976,-0.0418187075873287,1.14552448108724
2,1,0.445372180998675,"congruent",0.289178669701976,-0.0418187075873287,1.78459377209355
2,1,0.853850690997206,"incongruent",0.333736839877082,-0.0785960217930174,-0.994499978920891
2,1,0.762095361991669,"incongruent",0.333736839877082,-0.0785960217930174,-0.140649287923685
2,1,0.299376077993657,"congruent",0.333736839877082,-0.0785960217930174,0.871446074067984
2,1,0.54038175700407,"incongruent",0.333736839877082,-0.0785960217930174,1.42082215206164
2,1,0.862002933004987,"incongruent",0.367741407446215,-0.0340267384962295,-0.994499978920891
2,1,0.656622063004761,"incongruent",0.367741407446215,-0.0340267384962295,-0.132497045915904
2,-1,1.03236090000428,"incongruent",0.186012627812501,0.00705651373821681,-0.994499978920891
2,1,0.640065375991981,"incongruent",0.186012627812501,0.00705651373821681,0.0378609210833885
